Date,Day,Name,Type
7/1/2025,Tuesday,Coptic Christmas Day,National Holiday
25/1/2025,Saturday,Revolution Day January 25,National Holiday
1/3/2025,Saturday,Ramadan Start,Observance
20/3/2025,Thursday,March Equinox,Season
29/3/2025,Saturday,Eid el Fitr Holiday,National Holiday
30/3/2025,Sunday,Eid el Fitr Holiday,National Holiday
31/3/2025,Monday,Eid el Fitr,National Holiday
1/4/2025,Tuesday,Eid el Fitr Holiday,National Holiday
2/4/2025,Wednesday,Eid el Fitr Holiday,National Holiday
18/4/2025,Friday,Coptic Good Friday,Observance
19/4/2025,Saturday,Coptic Holy Saturday,Observance
20/4/2025,Sunday,Coptic Easter Sunday,Observance
21/4/2025,Monday,Spring Festival,National Holiday
24/4/2025,Thursday,Day off for Sinai Liberation Day,National Holiday
25/4/2025,Friday,Sinai Liberation Day,National Holiday
1/5/2025,Thursday,Labor Day,National Holiday
5/6/2025,Thursday,Arafat Day,National Holiday
6/6/2025,Friday,Eid al-Adha,National Holiday
7/6/2025,Saturday,Eid al-Adha Holiday,National Holiday
8/6/2025,Sunday,Eid al-Adha Holiday,National Holiday
9/6/2025,Monday,Eid al-Adha Holiday,National Holiday
21/6/2025,Saturday,June Solstice,Season
26/6/2025,Thursday,Muharram,National Holiday
30/6/2025,Monday,June 30 Revolution,National Holiday
3/7/2025,Thursday,Day off for June 30 Revolution,National Holiday
5/7/2025,Saturday,Ashura,Observance
23/7/2025,Wednesday,Revolution Day July 23,Observance
24/7/2025,Thursday,Day off for Revolution Day July 23,National Holiday
15/8/2025,Friday,Flooding of the Nile,Observance
4/9/2025,Thursday,Prophet Mohamed's Birthday,National Holiday
11/9/2025,Thursday,Nayrouz,Observance
22/9/2025,Monday,September Equinox,Season
6/10/2025,Monday,Armed Forces Day,National Holiday
9/10/2025,Thursday,Day off for Armed Forces Day,National Holiday
1/11/2025,Saturday,Grand Egyptian Museum Opening Holiday,National Holiday
21/12/2025,Sunday,December Solstice,Season
